FUA_CODE,fua_name,country,green,mean_temp,mean_pre,mean_edu,h_rate,gdp_pp,mean_pop_density,2019_satisfaction
AT001,Wien,AT,27.006669556,12.496260524646969,1.7106848134071737,33.279999999999994,1.4443953584883593,46.689981321501975,0.3341514380377549,58.4
AT002,Graz,AT,52.708308967,11.132707300445025,2.5318405094474605,28.7,0.5556456936347451,40.34438920091481,0.13379807786238973,38.3
AT003,Linz,AT,41.527214659,10.7931476858891,1.8987989126098137,29.0,0.25141041241364054,48.36947777029133,0.18419232065033278,
AT004,Salzburg,AT,47.768946481,10.283137594696502,3.413118620796975,32.3,0.548250122670965,55.60950336762638,0.2169,
AT005,Innsbruck,AT,42.8052467,7.142086421778433,2.9862231865425457,29.9,0.3222718879009465,45.73157329912954,0.1495,
AT006,Klagenfurt,AT,64.375060696,10.015875465440578,2.7036798407237423,30.6,0.4581807018870172,39.679662962275685,0.08222095615138766,
BE001,Bruxelles / Brussel,BE,24.000867806,11.836969159341091,1.5752177870020398,49.35,1.8189036281591586,56.554185929910524,0.9475948468853719,31.8
BE002,Antwerpen,BE,28.238180176,12.02068196737139,1.8742835588854456,41.4,0.9246025172303531,46.707536666268574,0.9164846604283888,41.1
BE003,Gent,BE,17.562697164,11.964233162646725,1.6577982838620475,42.8,0.934896896453936,45.90399855402613,0.5054676702155743,
BE004,Charleroi,BE,27.125787137,11.098389132463288,1.8814424006738293,39.2,1.4928492520825247,18.6161287433195,0.0738,
BE005,Liège,BE,31.381839424000002,11.70055919432091,1.6080996916530308,35.9,3.535050636552911,29.215523504429786,0.4481677592470369,23.0
BE006,Brugge,BE,20.711562448,11.647454215281234,1.5204400514997822,37.3,1.06375434366357,40.4142259414226,0.43289999999999995,
BE007,Namur,BE,31.951937735,11.53217517378627,1.5985743657581708,39.2,3.158499838916508,30.911890488493583,0.2726,
BE008,Leuven,BE,32.524012015,11.879091649526499,1.4468731412334506,48.7,0.3953905371182751,37.657429684735355,0.4346,
BE009,Mons,BE,29.623930636,11.79230194193171,1.395504787600817,31.4,2.704613684572497,25.874884570951675,0.4435,
BE010,Kortrijk,BE,13.120697545,11.788582283319583,1.463410315530993,37.3,1.3824136250686887,43.56852797141169,0.7146,
BE011,Oostende,BE,7.944350041,11.42614738747873,1.5019289610885356,37.3,1.915244065935469,31.3671650557336,0.5376000000000001,
DE001,Berlin,DE,45.716170614,11.174403646610678,0.9991018893906495,29.35833333333333,0.7607404490892081,37.29512795839899,0.31007778035405203,37.2
DE002,Hamburg,DE,29.304076559,10.540519745848528,1.4156923858299937,25.737500000000004,0.9927576908229196,48.697136007519994,0.48521231699879835,46.6
DE003,München,DE,31.337387577,10.689133731423775,2.270482457091433,40.6,0.8670400950553396,67.93710352424054,0.5389384122360873,61.4
DE004,Köln,DE,30.849744119,12.05002285712812,1.554990442786436,30.5,0.6016473103356992,49.425286434256996,1.2514557832504538,29.7
DE005,Frankfurt am Main,DE,44.420788087,12.029229017884294,1.2579450116109308,33.9,0.9282930732627459,56.36175952382279,0.630495347856841,34.2
DE007,Stuttgart,DE,40.890559065,11.691647738140944,1.486190110586065,32.699999999999996,0.6118208833181998,56.39740069697195,0.7625147179278758,32.7
DE008,Leipzig,DE,23.040281099,11.434108993041795,0.9891211665069601,32.9,0.6745154570034939,32.750250052515845,0.26630450535417255,52.5
DE009,Dresden,DE,38.372560043,10.998283732557589,1.1389002944824664,32.2,0.6706478309013656,32.12298041857367,0.23474524384467302,40.7
DE011,Düsseldorf,DE,26.218369967,12.158994348050541,1.620885044060462,25.899999999999995,0.3221448144027081,57.8915493039417,1.3225445997131053,41.5
DE012,Bremen,DE,22.285268716999997,11.01123538279109,1.328866521500985,24.633333333333336,1.0983743275399318,38.45993797323262,0.21820878000204227,
DE013,Hannover,DE,30.445000414,11.472194284117109,1.1618200654438318,27.4,0.991943889549337,43.67866206608177,0.447239933149533,
DE014,Nürnberg,DE,46.1063163,11.024271084211804,1.3922383328324128,30.699999999999996,0.8203531098094842,49.196978714074135,0.4606260338706163,27.9
DE017,Bielefeld,DE,33.661244325,11.585941522286646,1.6079068193729127,23.5,0.6014097043469894,41.44488681469364,1.2864,
DE018,Halle an der Saale,DE,12.137076139,11.58503279091353,0.8867259413556081,21.5,1.6483503545130656,33.01071192251811,0.2758951950571597,
DE019,Magdeburg,DE,27.815350533,11.42996219198155,0.9682264092390559,21.5,2.193148603761848,30.875983427771644,0.12151251825707807,
DE020,Wiesbaden,DE,58.147320297,10.957288073491846,1.808301994245559,33.9,0.2149354333958079,48.07415702323022,0.46622593011410735,
DE021,Göttingen,DE,42.077495561,10.750924801204684,1.1705466075413105,28.5,0.7516197405408656,28.606346677089128,0.105,
DE025,Darmstadt,DE,44.032161167,12.395806052611954,1.252580323894621,33.9,1.5408252660124762,46.356190375565156,0.5837839866916941,32.8
DE026,Trier,DE,54.702582413,11.19777577809366,2.2843098573387417,28.4,0.0,30.378850877023343,0.2145569824903503,
DE027,Freiburg im Breisgau,DE,53.361867927,11.620160180785795,2.037322185198945,29.5,0.4567927363864345,38.416954319203725,0.29938567289982865,33.2
DE028,Regensburg,DE,40.633760358,10.854643491993473,1.8179678901680463,23.766666666666666,0.8616734128514282,47.59218289879861,0.18512978824344561,
DE030,Weimar,DE,23.017855104,10.862578335004056,0.966176430406942,28.3,0.0,27.241346370354194,0.1648971346732878,
DE031,Schwerin,DE,34.34289369,10.85872154087639,1.093634149510949,25.5,0.6486788034470792,29.098725670490623,0.06483337720579757,
