FUA_CODE,fua_name,h_sum,green,mean_temp,mean_pre,sum_pop,mean_pop_density,h_rate,2019_satisfaction
AT001,Wien,41,27.006669556,12.496260524646969,1.7106848134071737,2838558,1057.96,1.4443953584883593,58.4
AT002,Graz,5,52.708308967,11.132707300445025,2.5318405094474605,899854,178.4333333333333,0.5556456936347451,38.3
BE001,Bruxelles / Brussel,46,24.000867806,11.836969159341091,1.5752177870020398,2528996,2280.875,1.8189036281591586,31.8
BE002,Antwerpen,12,28.238180176,12.02068196737139,1.8742835588854456,1297855,820.2,0.9246025172303531,41.1
BE005,Liège,29,31.381839424000002,11.70055919432091,1.6080996916530308,820356,392.59999999999997,3.535050636552911,23
DE001,Berlin,41,45.716170614,11.174403646610678,0.9991018893906495,5389486,570.625,0.7607404490892081,37.2
DE002,Hamburg,35,29.304076559,10.540519745848528,1.4156923858299937,3525533,659.425,0.9927576908229196,46.6
DE003,München,25,31.337387577,10.689133731423775,2.270482457091433,2883373,793.0666666666667,0.8670400950553396,61.4
DE004,Köln,12,30.849744119,12.05002285712812,1.554990442786436,1994524,1567.325,0.6016473103356992,29.7
DE005,Frankfurt am Main,25,44.420788087,12.029229017884294,1.2579450116109308,2693115,1215.4125000000001,0.9282930732627459,34.2
DE007,Stuttgart,17,40.890559065,11.691647738140944,1.486190110586065,2778591,1038.2333333333333,0.6118208833181998,32.7
DE008,Leipzig,7,23.040281099,11.434108993041795,0.9891211665069601,1037782,751.9333333333334,0.6745154570034939,52.5
DE009,Dresden,9,38.372560043,10.998283732557589,1.1389002944824664,1341986,538.85,0.6706478309013656,40.7
DE011,Düsseldorf,5,26.218369967,12.158994348050541,1.620885044060462,1552097,1667.1999999999998,0.3221448144027081,41.5
DE014,Nürnberg,11,46.1063163,11.024271084211804,1.3922383328324128,1340886,1031.45,0.8203531098094842,27.9
DE025,Darmstadt,7,44.032161167,12.395806052611954,1.252580323894621,454302,876.0,1.5408252660124762,32.8
DE027,Freiburg im Breisgau,3,53.361867927,11.620160180785795,2.037322185198945,656753,646.3000000000001,0.4567927363864345,33.2
DE033,Augsburg,4,33.984831605,10.238042562916133,1.8498818714440368,675285,801.8000000000001,0.5923424924291225,37
DE035,Karlsruhe,3,41.720327093,12.188835963103939,1.7939534452457087,754592,1132.35,0.39756583690259106,43.8
DE040,Saarbrücken,10,48.699102446,11.456066097422752,2.28183840996114,802664,525.675,1.2458513151206483,21.7
DE042,Koblenz,3,39.393068358,11.274509797418172,1.6849936374445327,327398,702.2,0.9163159212945711,28.9
DE043,Rostock,5,25.022636447,10.632141092849789,1.2488619913571268,423044,611.4,1.1819101559175877,35.5
DE054,Konstanz,3,43.296225367,11.148786850328314,2.3197459582177102,284015,369.7,1.0562822386141577,31.7
DE507,Aachen,6,46.933963764,11.166747122822729,1.5807941895699198,554068,790.3,1.0828995718937027,27.3
DE513,Kassel,4,45.505616854,10.519009336904277,1.2657929117858673,437410,1040.35,0.9144738346174069,54.4
DE517,Osnabrück,8,28.579425538,11.346397345038987,1.3860451302005383,520514,769.85,1.5369423300814196,27
DE524,Würzburg,5,41.792479005,11.590313445380977,1.2635442549208944,504927,464.79999999999995,0.9902421538162943,42.1
DE534,Ingolstadt,4,34.332781357,10.59089515142706,1.75332453384635,489298,363.925,0.8174977212251021,38.3
DE544,Zwickau,2,27.568301842,10.562735113197444,1.2472585845781758,319988,335.9,0.6250234383789393,30.3
DK001,København,16,25.471390913,9.982567807346701,1.2933980275055228,2030718,1698.95,0.7878986644132765,50.7
DK004,Aalborg,5,20.680417473,9.49873497068121,1.6786823818667962,589148,76.4,0.8486831831729887,49.9
ES001,Madrid,36,27.443631137,14.46504402073498,1.5689062166007364,6529923,827.3,0.5513081854104558,24.7
ES002,Barcelona,28,52.304705971,14.500944178809833,2.591070542286532,5556273,718.7,0.5039349218441931,18.7
ES006,Málaga,21,52.645116731,16.80595683599765,2.6561859674380233,1650068,228.0,1.2726748230981997,22.2
ES013,Oviedo,7,47.121843809,12.777847007479366,3.16333737022905,1027091,97.0,0.6815364948188621,36.4
FR001,Paris,98,28.908434883,12.778554457623006,1.9580656979328677,12213447,5728.125,0.802394279027043,30.3
IT001,Roma,18,45.767723553,16.70813601094398,2.2595171757092345,4259443,823.7,0.4225904654669636,15.7
IT003,Napoli,21,41.55246967,17.977619389181022,2.01573461010202,3060023,2634.5,0.6862693515702333,3.7
IT004,Torino,10,33.586801209,11.459745587065678,2.6861294419703827,2249616,333.8,0.44452030924388874,37.9
IT005,Palermo,4,29.541298184,16.768901510815287,1.5912652151984525,1238675,252.1,0.3229257069045553,7.5
IT009,Bologna,4,29.51321189,14.406053201308568,1.8948535413189422,1012550,275.5,0.39504222013727713,35.9
IT012,Verona,1,24.793093247,14.700731205039908,2.161460229594129,919179,318.0,0.1087927378671619,23.7
LU001,Luxembourg,3,41.730663985,11.087292629862725,2.317983112013956,602005,235.1,0.49833473143910767,51.1
PT001,Lisboa,29,32.666364248,17.2655977710811,1.7383765306744683,2849085,1010.7,1.0178706496998158,11.6
PT003,Braga,2,45.933880385,14.631261393489163,3.982099351902662,409291,327.9,0.4886498848007897,19.3
