FUA code,FUA name,FUA-code,X,Y,C_urban woody feature_FUA_%
DE037,Mainz,*,8.1021404,49.9292984,19.166635618
DE038,Ruhrgebiet,*,7.1268401,51.5536003,30.620628064
DE039,Kiel,*,9.98069,54.2779007,20.675886555
DE040,Saarbrücken,DE040,7.0064001,49.3017998,48.699102446
DE042,Koblenz,DE042,7.36058,50.3334999,39.393068358
DE043,Rostock,DE043,12.2160997,53.9244003,25.022636447
DE044,Kaiserslautern,DE044,7.6022501,49.4888,54.788943474
DE045,Iserlohn,*,7.7130599,51.2626991,63.979136050
DE048,Wilhelmshaven,DE048,7.99892,53.5206985,15.991053654
DE050,Tübingen,DE050,8.9877596,48.4817009,42.980712849
DE051,Villingen-Schwenningen,DE051,8.4109802,48.0191002,52.484186296
DE052,Flensburg,DE052,9.5037403,54.6282997,14.732966283
DE053,Marburg,DE053,8.7380695,50.8368988,49.762582667
DE054,Konstanz,DE054,8.9101896,47.7981987,43.296225367
DE055,Neumünster,DE055,9.9846497,54.0810013,23.767966073
DE056,Brandenburg an der Havel,DE056,12.5193005,52.4026985,40.812277910
DE057,Gießen,*,8.8075199,50.5703011,43.725108801
DE058,Lüneburg,DE058,10.5733004,53.2326012,41.155771427
DE059,Bayreuth,DE059,11.5320997,49.9578018,50.412781064
DE060,Celle,DE060,10.1035004,52.7132988,56.075154971
DE061,Aschaffenburg,DE061,9.2325602,49.8851013,65.066450937
DE062,Bamberg,DE062,10.8844004,49.8931999,44.964239645
DE063,Plauen,DE063,12.2349997,50.4567986,49.873192294
DE064,Neubrandenburg,DE064,13.0155001,53.5672989,31.725036840
DE065,Fulda,DE065,9.7592096,50.5639,44.017557201
DE066,Kempten (Allgäu),DE066,10.2606001,47.5792999,47.646333113
DE067,Landshut,DE067,12.1936998,48.5570984,27.008688594
DE069,Rosenheim,DE069,12.1613998,47.8776016,44.468226333
DE071,Stralsund,DE071,12.9854002,54.2915001,24.274404362
DE072,Friedrichshafen,DE072,9.4008398,47.7333984,44.658481034
DE073,Offenburg,*,8.0162296,48.4208984,55.429439402
DE074,Görlitz,DE074,14.7508001,51.2256012,41.823800124
DE077,Schweinfurt,DE077,10.0922003,50.1338005,44.067994819
DE078,Greifswald,DE078,13.8366003,53.7773018,30.527325618
DE079,Wetzlar,*,8.3653202,50.6483002,61.549442138
DE081,Passau,DE081,13.3688002,48.5597,37.569646655
DE082,Dessau-Roßlau,DE082,12.2309999,51.8538017,45.553642049
DE083,Braunschweig-Salzgitter-Wolfsburg,DE083,10.5944004,52.3658981,31.346053943
