,Unnamed: 0,NUTS,YEAR,MONTH,Mean_MAX_T,Mean_MIN_T,Mean_AVG,Mean_Pre,Mean_Snow,Var_MAX_T,Var_MIN_T,Var_AVG,Var_Pre,Var_Snow,Kur_Max,Kur_Min,kur_mean,kur_pre,kur_Snow,Cov_Temp_Pre
348,349,DK011,2018,1,4.4223783715056,1.61927007462761,3.02171953194802,1.52656642799833,0.0,5.00323267127351,6.34133119451525,4.9644194048351,6.50318559641573,0.0,-1.03279181428199,-0.048443771010561,-0.920511615932501,5.77895079603589,0.0,0.770264566291503
349,350,DK011,2018,2,1.56911018301295,-2.56374397667154,-0.503047817925796,0.427318388415619,0.214285714285714,6.41563270354316,10.57343964891,7.68967848918181,1.03262164398365,0.204232804232804,-0.292311548004529,-0.822179208003901,-0.667128967641436,6.19485666615366,6.40025354056896,0.880456648087983
350,351,DK011,2018,3,2.53661564917299,-1.42999450810563,0.551596530480025,2.03909785198496,2.16129032258065,6.13787961830322,6.85784120688693,4.73102728658767,17.9931937269879,7.53978494623656,-0.369618876842424,-0.415463538518173,-0.0907262289101376,10.2752588059467,-1.13020209988512,3.13968692835892
351,352,DK011,2018,4,13.7675564836537,5.36404797121745,9.5673643860468,0.855985865790502,0.0,18.2059746736014,6.62002828240255,10.3651796726648,2.83779066871327,0.0,0.292639532870851,-0.300347962832583,0.036199244862309,3.19265807355525,0.0,-0.725124761705127
352,353,DK011,2018,5,21.2183733155696,10.2657490440654,15.7443329226009,0.330552210835367,0.0,19.1551800627054,11.7866344575189,13.2314455954028,0.880993565312189,0.0,-0.430659545847641,-0.50659756298938,-0.548531506497961,6.98426559671366,0.0,-0.0817492539688677
353,354,DK011,2018,6,23.3215536993592,13.4538927076501,18.3892853621159,0.423333333333333,0.0,7.36787491767791,2.97148696338108,3.41045054510202,1.45219540229885,0.0,-1.18290156821863,-0.0937434660165559,-1.08412782924349,6.77489633083742,0.0,-0.970934210822667
354,355,DK011,2018,7,26.0605987375315,16.3103035134209,21.1897157596781,0.245448328060338,0.0,9.25950145783901,5.99251029759427,6.46197803661522,0.817260891505775,0.0,-0.571104178787546,-0.964728441363436,-1.01767974787001,21.6999721616936,0.0,0.039335850484314
355,356,DK011,2018,8,23.3360252009517,15.7642974826308,19.5528130727673,2.64013139371552,0.0,12.6732746695705,7.04159675530388,7.86309206100091,29.5976346976113,0.0,-0.56194356906452,-0.778132321948685,-0.675405808892618,8.70873845981311,0.0,-4.21153592361627
356,357,DK011,2018,9,18.6362655529489,11.8634209228848,15.2479237603636,1.03333333333333,0.0,9.6879596260424,11.6984644923693,9.59745859555075,3.31471264367816,0.0,-1.21942303080678,-0.533625703246243,-0.95517944730968,4.50161714424935,0.0,0.0843632522643602
357,358,DK011,2018,10,13.8744121947886,7.51043739574026,10.6946965380478,1.40199289141852,0.0,12.2549407872732,9.37474904169453,9.41882926306929,6.3296903542648,0.0,0.618404454736945,-0.741334074899866,-0.0264881841458018,3.81658740769912,0.0,-1.2956706175604
358,359,DK011,2018,11,8.01106499608998,4.7528277115601,6.38635314250034,0.972844630064076,0.0,11.1515650363947,11.999449102401,10.6015877676985,4.08202131246948,0.0,-1.20968814802042,-0.273769837912701,-0.776557578524183,6.79590379416966,0.0,1.79613788536336
359,360,DK011,2018,12,5.46723625134464,2.92788410711349,4.19285680204763,2.38368506683202,0.0,6.06964164765455,5.2302462854007,5.00043490517633,12.6336398550368,0.0,-0.812788463339447,-1.14232355853135,-0.924355346305143,1.37908084112731,0.0,1.21496650282897
708,709,DK012,2018,1,4.21283796658509,1.39356409878912,2.80012775632112,1.71555991392045,0.0,5.68269202624481,6.85066675091722,5.37992302167677,6.76926509940633,0.0,-0.491649928057054,0.207358979574179,-0.925087299869917,5.39576679744946,0.0,1.10713831138657
