,Unnamed: 0,NUTS,YEAR,MONTH,Mean_MAX_T,Mean_MIN_T,Mean_AVG,Mean_Pre,Mean_Snow,Var_MAX_T,Var_MIN_T,Var_AVG,Var_Pre,Var_Snow,Kur_Max,Kur_Min,kur_mean,kur_pre,kur_Snow,Cov_Temp_Pre
312,313,SE110,2018.0,1.0,1.20049035978675,-2.18322458839002,-0.491343173026516,1.64267741526042,2.23291358790718,6.75647271329746,15.5418864607913,9.89087916827737,7.18153302334686,7.32229226772263,-0.236340499236197,0.308649014335801,0.0830869430144627,2.45124710878576,-1.29991006940628,1.69929904081027
313,314,SE110,2018.0,2.0,-1.1917616848634,-6.54642708281015,-3.86983652994116,0.843561565178373,5.62603562719497,8.91389080239428,22.2813198809478,13.2198257472453,1.03665482711564,15.8642074314232,0.0589129177647512,-1.34881256086877,-1.06374855658218,1.5870453810693,0.34493361242855,0.775905266247397
314,315,SE110,2018.0,3.0,0.974643445632441,-6.21394682476412,-2.62148250094749,0.630190761218026,10.6710458673177,10.2185547950258,23.1367377078978,12.358593170053,2.41474557329486,20.1457639342185,-0.476357416328227,-1.30909269315818,-0.378122650558886,10.4913752843841,-0.55193010783006,1.44580302736061
315,316,SE110,2018.0,4.0,10.7784574962979,0.545412257390951,5.65831099807266,0.850032438951281,0.514325255895934,19.5980914205066,10.9018246742762,12.3442653343099,1.81704790923169,1.41026831657284,-0.237277281450941,-0.651368874290386,-0.545208690163026,2.75283926558471,3.14482463918329,-0.141653242141726
316,317,SE110,2018.0,5.0,20.219732643213,6.59266964313026,13.4036952126007,0.188557452771559,0.0,17.1720393557959,4.52608443700984,6.96689135700267,0.565434822050479,0.0,-0.557392261193004,0.646939275573542,-0.0505856169471723,14.5953029429224,0.0,-1.18523520228039
317,318,SE110,2018.0,6.0,21.3000942880512,9.92994137480565,15.6122713844703,1.02139180612318,0.0,13.1056785545307,8.12868353646578,7.35250306665474,9.23432852601911,0.0,-0.985561970759443,-0.388430762264181,-0.730324472725624,18.2521739475432,0.0,-1.64386959984456
318,319,SE110,2018.0,7.0,26.3248302890127,14.1974507676675,20.2596773265714,0.944973841110101,0.0,11.7134246557038,12.0269154097169,10.2887028384139,5.94528318080398,0.0,-0.981460607144467,-1.33583298147799,-1.34328039906589,4.4612685351382,0.0,2.74307542198799
319,320,SE110,2018.0,8.0,22.9400739534167,13.6783135021165,18.3078520071363,1.49336320908263,0.0,12.6125074548501,15.2691541037559,12.3233927138438,4.49309648010283,0.0,-1.09323474656701,-0.851700944313702,-1.07869495355645,1.78644110268936,0.0,0.257792319940923
320,321,SE110,2018.0,9.0,17.7993612311669,9.53616392142932,13.6651832541183,1.45447165472847,0.0,12.3328694940004,11.5901771463459,9.92326396075995,9.07508188886258,0.0,-0.894678262397999,0.558066602406547,-0.0186956456414133,7.21955294221118,0.0,-1.9763776679883
321,322,SE110,2018.0,10.0,11.2544428691351,4.86723076093409,8.05974558596804,0.918122724197317,0.0,15.8086242947804,17.386796342932,14.7583356420312,4.55590411868163,0.0,-0.820747237570008,-1.25442013835275,-1.10966878751052,13.7394509812271,0.0,-1.75740524819186
322,323,SE110,2018.0,11.0,5.64744916628154,2.29564795403742,3.96897498666929,0.958576492758268,0.0187676584726956,15.7807425664581,26.3519369003507,19.986270774258,4.7256773823593,0.0054459835206093,-1.16837581745765,-0.882768513840881,-1.08228295339336,8.59423707289033,12.4279336876297,0.391691123033879
323,324,SE110,2018.0,12.0,1.886474163575,-1.26097845150744,0.310849563036611,1.40846006361459,1.43241012974648,7.37309782802356,11.3614201366639,7.86896544390948,2.51731861025335,3.23278719791608,-0.389579735205012,-0.680061242450138,-0.866665717491516,0.191236824376549,-0.545170517717688,1.91639038723245
637,638,SE121,2018.0,1.0,-0.0691300791161992,-3.14769584521059,-1.6094184580963,1.63370795038768,2.99422000137054,8.34028574428441,14.7733062412369,10.5756739273837,6.83157614986539,11.0762695865918,-0.242183083566398,-0.273853246694349,-0.172996601755362,2.24273081891286,-0.0378532689923681,2.01473259657409
638,639,SE121,2018.0,2.0,-2.22347587197596,-7.33929167739842,-4.78651732714516,1.07047015599232,9.63117683183059,9.56995131106557,24.9548360241415,14.5549066472848,3.24346373648447,22.6609183665807,0.638674797533762,-1.11373609408132,-0.862092491673858,11.084332474849,2.31324071463556,1.95719005378126
639,640,SE121,2018.0,3.0,0.746609665572622,-7.68098928517088,-3.46727561482301,0.70482372980565,18.6302784644299,12.7301242158951,26.94173736481,13.2669789766038,2.20904262486026,28.4819321280481,-0.796369028374246,-1.46856287947186,-0.404741932245281,5.68424035456309,2.47901729949548,0.741012055610305
640,641,SE121,2018.0,4.0,10.8843933178476,0.04216587094574,5.45821520172131,1.14669644377781,1.66857751127001,23.5061914079424,13.4029126831567,14.1436456839815,4.81334200991985,9.73620824496212,-0.71837990733438,-0.408308934974447,-0.440449487103485,4.9457797168599,2.63390061150108,-1.66983936086557
641,642,SE121,2018.0,5.0,21.2069026838571,6.65203856164103,13.9292698272666,0.25649956110409,0.0006005376759452,21.5937189825839,6.95732641018857,8.77640022736725,1.06486739888571,1.11800105071213e-05,-0.002654913438727,-0.11120195661133,-0.31222053234342,16.3390386440349,24.1904266389178,-1.74724346408354
642,643,SE121,2018.0,6.0,21.2375256523991,9.6019466125234,15.4204971838097,1.35166120134894,0.0,17.8670263513673,9.46869874030427,9.49391803007487,23.3649239650628,0.0,-0.668246223098398,-0.392853906220832,-0.400010216182027,21.1450101388938,0.0,-4.05202210814868
